,name,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,No. of Tehsils,No. of Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Labour force,Number of Printing Presses,Number of Television Sets,Operational Bank Branches,Sale of fertilizers (tonnes),Number of Animals,Number of Cattle,Value produced by manufacturing industries,Average daily persons engaged in industry (No),Employment cost,Wages & Salaries,Multi Dimensional Poverty Index,Road Kilometrage,Railway Route Kilometrage,Motor Vehicles Registered,Number of Exchanges,Telephone Connections,Public Call offices,Number of Post Offices,Govt. Health Institutions,Bed Strength,Number of Doctors,Registered Private Medical Practitioners,Number of patients treated,Percentage of children fully immunized Urban,Immunized rural,Percentage of households with tap water Urban,Rural,Percentage of households with toilet facility,Number of primary schools,Number of middle schools,Number of high schools,Number of higher secondary schools,Learning Score Percentage,Edu Inst Availability of Electricity,Edu Inst Availability of Water,Edu Inst Availability of Toilet,Private Health Institutions,Province
10,Kohat,"Kohat is surrounded by a chain of mountains, holding a beautiful cantonment. It is one of the oldest cantonments of Pakistan and also the old district of Sub-continent. Kohat is described in the old history of Buddhism. This district has boundaries with Aurakazai Agency, district Hangu, district Kurak, district Nowshera and Punjab. The town centers around a British-era fort, various bazaars, and a military cantonment. Kohat is also known for its Sufi Saints.

It consists chiefly of a bare and intricate mountain region east of the Indus, deeply scored with river valleys and ravines, but enclosing a few scattered patches of cultivated lowland. Important historical places include Darra, Khushal Garh, Kohat town, Lachi, Shakardarra, Gumbat and Tanda Dam. Kohat is blessed with many natural resources. 

Kohat is famous for agri products and hand made kohati chappal. Agricultural products of the area include wheat, maize, barley, guava and citrus fruit. Poultry and local breeds of cattle are also good source of income for the people of Kohat.

Different regions of Kohat are characterized by the production of different items e.g. Billitang is famous for the production of mazri products. These products are being sold in Kohat, Peshawar and Islamabad markets, while some organizations have started exporting them to UK and Holland as well.

Darra Adam khel is famous for the production of arms and ammunition throughout the country. The technical skill attained by these gunsmiths is  acknowledged even in foreign countries. It has also become a major source of livelihood for the people of this area.

Shakar Darra is famous for Bee keeping and Honey processing. About 150 bee keeping farms are currently present in Kohat district making it a good source of income for the habitants of this area

Tanda Dam was built in 1960s near Kohat city towards the Hangu district. It is the main source of irrigation to adjoining areas. It has lovely surroundings, which attract a large number of people especially on weekends. The peaceful recreation provided by its natural beauty is unsurpassed.

Main bazaars of the area are Kohat, Gumbat, Lachi and Bilitang. Lachi is the main vegetable market and also Sub Tehsil of District Kohat. Gumbat is also Sub Tehsil of Kohat and is main market located on Pindi Kohat Road.

A small industrial estate also exists at Dhoda road Kohat. However the pace of industrialization is very slow due to location disadvantage and lack of entrepreneurial skills in the area.",2545,70654,121344,2,32,993874,391,100,270146,723729,496593,497238,43,97466,14,82646,25,3349,1341511,174299,7567088,5230,448852,369768,0.238,364.7,0,70768,17,6731,1,74,6,512,367,180,1056653,94,98,44,21,87,654,78,79,20,48.46,100,100,100,,KPK
11,Kohistan,"The District Kohistan lies between 34º 54´ and 35º 52´-north latitudes and 72º 43´ and 73º 57´ east longitudes. It is bounded on the north and northeast by Ghizer and Diamer Districts of Northern areas, on the southeast by Manshera District ,on the south by Battragram District and on the west by Shangla and Swat Districts of KP. Kohistan means the land of mountains. In fact there is hardly any plain area. It could be correctly described as all mountains dotted with land. The Indus River cuts through the heart of Kohistan from start to end and divides it into two parts - Hazara Kohistan and Swat Kohistan. These two parts were merged in 1976 to form Kohistan District.

Majority of the people are associated with agriculture for their livelihood. A number of people are engaged in business. Most of the people depend upon their share in forest. Literacy rate of the district is very low; however the tendency towards jobs in Government functionaries is increasing that encourages young generation towards education. The only route for commerce and trade from the district is the Karakorum Highway. The main trading centers are Dubair Bazar, Pattan Bazar, Komila Bazar and Shatial Bazar. All essential commodities like vegetables, food, grain, flour and all the other agriculture and industrial goods are imported to these markets from Swat ,Manshera, Havalian and from the cities of Punjab Province. Hides, walnuts, honey, raw wool and desi ghee are sold in a very negligible quantity in these bazaars. Timber is the major export item of the district.

No systematic survey for Minerals has been carried out. No known mines exist at present except one chromite mine at Jijal yet to be exploited and extricated for commercial purpose.",7492,481064,101911,4,38,784711,105,124,0,784711,434956,349746,9,116019,0,0,8,39,1740666,250910,0,0,0,0,0.581,418,0,3061,2,293,0,11,0,0,33,0,129056,0,98,0,8,56,759,72,32,5,11.47,69.37,78.97,80.69,,KPK
12,Lakki Marwat,"Lakki Marwat was created as an administrative district on July 1, 1992, prior to which it was a tehsil of Bannu District. In the south-east, the Marwat range seperates Lakki Marwat from Dera Ismail Khan while in the East the Karak Niazi range seperates it from Mianwali District. It is surrounded by the Baittani Range on the West and South-West, which seperates it from Tank District and the tribal area adjoining Tank and South Waziristan Districts.

The Transport and Mineral sectors can be considered as the main sources of livelihood for the people of Lakki Marwat. Companies like Lucky Cement which is the largest producer of cement with 7.75 million tons per annum also contributes its share in uplifting the standards of society their as well as a major source of employment.",3164,44430,98051,2,33,876182,277,102,89420,786762,441816,434357,9,79855,0,26668,20,3237,1154154,98550,416345,246,21322,21320,0.32,591.85,0,9705,8,1688,0,73,4,0,236,77,873156,100,98,65,20,95,887,93,78,13,42.13,100,100,100,4,KPK
13,Lower Dir,"District Lower Dir is located approximately 170 kilometers away from Peshawar. The district was formed in 1996, when the District Dir was divided into two, namely, Upper Dir and Lower Dir. Timargara city is its head quarters and the largest city of the district. Its borders meet Swat in the East,
Afghanistan on its West and Upper Dir and Chitral on its North and North-West.

Rapid urbanization has left a deep imprint on their lives and which could be witnessed in its headquarters Timargara which has become a site of great hustle and bustle and economic activity. No big industrial units exist in the area except a few cement block manufacturing units, sawing units, some cap making small ice, rice huskings, steel iron & door making units. A number of floor mills also exist but a few are in operational condition.

Agriculture is the main stay of income of the people of the district. The cereal crops are grown on terraces on the hill slopes in the valleys including wheat, maize and rice. Vegetables are also grown in the areas under irrigation. Around 30-40 % of population works outside their villages for earning their livelihood. At domestic level women produce handicrafts and also work in the fields with their men. In the villages women main source of income is livestock product, poultry and grain from the fields.

Embroidery is the only sector having 100% female employment in the district. The cap making occupies the primary position whereas the other products i.e., embroidered garments, Ladies Purse, Hair Accessories, ‘Azarband’ (trouser belt), and ‘Pranda’ (female hair band) are also manufactured. All of the female are working inside their homes and there is no separate setup. Almost all of the women do not have direct access to market and they have to rely on middle man or a male member of their household to purchase raw material and sell their products. The middlemen supply raw material and purchase finished products inside the houses; therefore this sector is growing in the conservative society of Lower Dir.",1583,45480,155338,4,41,1435917,907,98,40373,1395544,710335,725576,6,114555,0,0,47,7855,1659203,249007,0,0,0,0,0.194,742.81,0,26013,23,8197,0,75,7,37,431,147,912487,100,98,60,25,95,1212,143,124,33,49.76,89.62,79.31,97.3,3,KPK
14,Malakand,"The District Malakand is the smallest district of Khyber Pakhtunkhwa, having an area of 952 Sq. Km. Though small but lies in strategically important position due to being a gateway to Bajaur, Lower Dir, Swat, and Bunair.

The District was formed in 1970 as a Provincially Administered Tribal Area (PATA). It had previously been a tribal area known as the Malakand Protected Area, part of the Malakand Agency. From 1970 the district became part of Malakand Division.",952,30479,91414,2,28,720295,757,101,68200,652095,362089,358203,3,76452,0,0,33,3231,419905,74065,338480,40,1984,1984,0.171,500.64,11.09,5401,11,7063,0,51,6,460,291,75,1194183,100,100,34,24,91,542,62,74,6,66.15,98.54,94.72,98.54,,KPK
15,Mansehra,"Mansehra District of Khyber Pakhtunkhwa consists of three tehsils – Mansehra, Oghi, and Balakot. The District is located from 34º - 14´ to 35º - 11´ north latitudes and 72º - 49´ to 74º - 08´east longitudes. Mansehra makes its boundary on the north to Kohistan and Battagram districts, on the east to Muzaffarabad district of Azad Jammu & Kashmir, on the south to Abbottabad and Haripur districts and on the west to Shangla and Buner districts.

At the time of Alexander the Great, this area was part of District Hazara and was named as Urasha. In seventeenth century, it was part of the kingdom Valu-Lashi in North West of Kashmir.

Mansehra’s economy depends on diverse alternatives such as, agriculture, Poultry, mining, tourism and reliance on natural resources. Its population growth rate is higher, but its land fertility offer great opportunity for the people to earn and fulfill their daily life needs.

Agricultural product of the area includes Wheat, peas and other seasonal vegetables. Due to favorable climatic conditions, the district is rich in vegetables and fruit. Vegetables include Cabbage, carrot and reddish and fruits of this area include peaches, plums and pears. 

District Mansehra is rich in flora. A diversity of herbs is found all over the district. Several of these herbs are used for medicinal purposes.
Agriculture land is being intensively cultivated and more fragile land is brought under agriculture through the cultivation of steep slopes and forest encroachments. In this continuation the people of different villages of Hazara Division who either did not have land or having very small land holding started work on some other sources of income for their livelihood and most of them went towards cottage industry (Crochet, Adda and other Handicrafts).

Livestock and fisheries are the main source of milk and meat etc. Profusion of Poultry farms are also found in this district. Bullocks and cows are also used for ploughing. District Mansehra is also one of the major mining regions of Khyber Pakhtunkhwa. In terms of infrastructure, the district is relatively well served both by major roads and telecommunications networks.

Mansehra from the tourism point of view has famous hill stations, historical lakes, and gorgeous valleys that provide scenic beauty and contribute much to the GDP of Pakistan.

The economy of the area is largely agrarian, with high dependence on natural resources that have already depleted. Due to high population growth rate, small land holdings and lack of alternative sources of income, the pressure on land and natural resources is continuously increasing.",4579,536423,239275,3,59,1556460,340,98,144855,1411605,772123,784181,156,220701,12,95287,89,9606,1840148,181973,28137,22,1490,1490,0.204,914.75,0,25469,28,11004,74,191,12,782,459,306,1482190,100,96,54,49,85,1829,189,130,37,91.26,66.04,72.99,89.31,,KPK
16,Mardan,"Mardan is the second largest city of Khyber Pakhtunkhwa. Area constituting Mardan district is part of the Peshawar valley. It was made district in 1937 with the bifurcation of district of Peshawar. Swabi and Charsadda districts were later carved out of Mardan in the 1980s. Mardan district now comprises of two tehsils i.e. Takhtbhai and Mardan. Most of its land is agricultural. It has one of the world's best irrigation systems, which were laid down by the British government during British Rule on subcontinent (1857-1947). It was part of the ancient Gandhara Civilization. There are still remains of the Gandhara Civilization, scattered in different areas of Mardan. Malakand, Charsadda, Nowshera, Swabi and Buner Districts surround the District Mardan.

Mardan is blessed with fertile agricultural land; therefore, most of the people are associated with agriculture. Main crops are Virginia tobacco, sugarcane and wheat. Commercial deposits of marble, Limestone, Dolomite and Granite also exist in Mardan district. Veins of a good quality of Topaz, being a valuable gemstone have been found in the hillocks of Shaheed Ghundai and Shamozai Katlang, Mardan. Besides agriculture and mining as major economic activities, Mardan is also famous for its three major potential clusters namely Light Engineering Cluster (Takht Bhai), Furniture Cluster (Mardan) and Handicrafts Cluster (Mardan).",1632,91729,311868,3,75,2373061,1454,102,439325,1933736,1200871,1172112,78,304778,38,173729,93,34779,2206644,247445,1826617,2817,212131,209878,0.153,780.764,50.93,209411,23,14878,0,110,8,0,498,340,1436960,100,100,24,24,90,1448,189,152,48,27.81,97.21,97.21,97.21,2,KPK
17,Nowshera,"Nowshera district was a part of Afghanistan as Nowkhaar Province till it was annexed into British India via the Durand Line Agreement. The district was also part of the Peshawar Division until the reforms of the Government of Pakistan.

There are three military cantonments situated in Nowshera district, which are Cherat cantonment, Nowshera cantonment and Risalpur cantonment. Therefore, Nowshera is also one of the most prominent districts of Pakistan.

Earlier, Nowshera was a Tehsil (Administrative sub-division) of Peshawar district. Its status was upgraded to district level during. It is also one of the largest cities of the province and located on the Grand Trunk Road 27 miles due east of Peshawar at 34°0’55N 71°58’29E.

Nowshera cantonment and city are situated at opposite sides of the bank of Kabul River. To the North-East is Attock district of Punjab province. To the north are Swabi and Mardan districts. To the northwest is Charsadda District and in the west is Peshawar District. On south it touches the Kohat District boundary.

Nowshera is situated on GT road and has access to Peshawar- Islamabad motorway making its location ideal for trade. People of Nowshera are educated and skilled in different field such as agriculture, horticulture, technical work and industry. Labor cost in Nowshera is low and non-skilled workers are easily available, which can lead to achieve cost effective production.

Export Promotion Zone (EPZ) Risalpur comprising 200 acres, (100 acres in phase 1 fully developed) has direct access to the central Asian markets. The zone is located at a distance of about 50 kilometers from Peshawar near Mardan interchange on Islamabad Peshawar motorway section. The area has the potential of trading and warehousing business, mineral, fruits & vegetable processing, carpet and industry due to availability of respective raw material and cheap skilled labor.

Other notable industries includes Paper International Ltd Aman Garh, Nizampur Cement Company (AWT), Fauji Corn Complex at Jehangira, Nowshera Sheet Glass Industries at Adamzai, Pakistan Tobacco Company at Akora Khattak, Associated Industries Ltd. At Amangarh, Ferozsons pharmaceutical at Amangarh, Locomotive factory at Risalpur, Similarly, a number of various industrial units situated at Pabbi, Risalpur, Amangarh, Akora Khattak, Jehangira and Chirat areas are also making progress from industrial point of view.",1748,178142,198808,3,47,1518540,340,106,338650,1179890,781722,736778,40,194570,9,126338,67,3454.2,1483696,190669,45397088,7081,2185295,2123309,0.168,520.61,71.88,40533,17,9505,0,72,7,20,308,175,2167642,100,100,27,23,92,762,86,103,25,43.83,98.3,98.3,98.3,1,KPK
18,Peshawar,"Peshawar is located in the broad Valley of Peshawar, which is surrounded by mountain ranges on three sides, with the fourth opening to the Punjab plains. The city is located in the generally level base of the valley, known as the Gandhara Plains.

Peshawar's economic importance has historically been linked to its privileged position at the entrance to the Khyber Pass – the ancient travel route by which most trade between Central Asia and the Indian Subcontinent passed.

Peshawar's Industrial Estate on Jamrud Road is an industrial zone established in the 1960s on 868 acres. The industrial estate hosts furniture, marble industries, and food processing industries, though many of its plots remain underutilized. The Hayatabad Industrial Estate hosts 646 industrial units in Peshawar's western suburbs, though several of the units are no longer in use. As part of the China Pakistan Economic Corridor 4 special economic zones are to be established in the province, with roads, electricity, gas, water, and security to be provided by the government. 

On the whole, the economy of Peshawar is currently based on vast variety of economic sectors, among them are Agriculture, Horticulture, Manufacturing, Services, Pharmaceutical Sector. In Particular, Peshawar already is Manufacturing, Services and Pharmaceutical Hub of the province, but there is room to grow even more. Being the provincial metropolis, Peshawar hosts an industrial base that manufactures a wide range of products like steel and other alloys, marble blocks, textiles, beverages, automobile body parts, sporting arms, ceramics, edible items (biscuits, bakery items, oil/ghee etc.), furniture and soaps/shampoo (KP Economic Zones Development and Management Company).",1257,55043,489843,1,92,4269079,3396,106,1970042,2299037,2201257,2067591,231,392602,407,306591,283,19946,2678312,223150,17752660,11264,691029,665470,0.148,420.5,30.9,669750,49,80757,0,161,20,728,440,1454,1443671,100,100,79,14,92,1041,146,149,35,53.35,100,100,100,30,KPK
19,Shangla,"District Shangla, is surrounded by District Battagram in the east, District Swat in the west, District Kohistan in the north and District Buner in the south. 

High mountains and narrow valleys in western extremities of Himalaya dominate the topography of the district. The general elevation of the district is 2000 to 3500 meter above the sea level. The highest point in the district is Kuz Ganshal which is 3440 meter above the sea level.

Most of the people of the district depend upon agriculture sector. Inspite of a high availability fertile land, the size of the land holdings is very small. Desi Ghee (animal fat) and honey are also the major products. The main fruits in the district are apple, walnut, plum, pear, Amlook, mango, guava and apricot. Mushrooms of export quality are also cultivated. The wool from sheep is consumed locally in manufacturing of blankets and other woolen item.",1586,180430,89695,3,28,757810,478,104,0,757810,385471,372338,1,98051,0,0,16,12967,1595145,204946,0,0,0,0,0.438,284,0,218,12,1948,0,24,5,17,186,50,370712,0,100,0,43,76,602,71,43,8,42.08,62.52,67.27,83.47,1,KPK
20,Swabi,"Swabi lies between the Indus River and Kabul River, in the Khyber Pakhtunkhwa of Pakistan. Its residents are referred to as Swabiwaals. Swabi is the fourth most populous district of KP. The Yousafzai clan of Pukhtoons are the district's predominant clan. Swabi was separated from Mardan and made a district in July 1988.

Tobacco is a popular cash crop of Swabi along with vegetables, wheat, sugar cane and maize. Its climate is ideally suited for citrus in particular while many other fruits like watermelon, peaches and apricots are also grown there. Swabi is rich with mineral resources founded in the Maneri village and its white marble is very popular throughout the country.

Major part of the population is in business. Due to remittances from the overseas countries, the people now prefer business. The major trading centers are at Swabi, Maneri, Topi, Zaida, Nawan Killi, and Tordher. People operate different big and small business such as stores, workshops, grain stores, property centers, bargains, tobacco sales markets, petrol pumps, transport, traveling Agencies, hoteling, fruit and vegetable markets.

District Swabi is rich in natural resources. Marble, sandstone, gravel are available in large quantity. The same are leased out to the interesting parties by the directorate of industries as per government policy and thus a lot of money is going to the public exchequer, each year. The limestone, sandstone slates are common economics rocks of the area. The limestone is used for crushers and road construction whereas the sandstone and slates are used for houses.",1543,110371,214209,4,56,1624616,1053,101,275925,1348691,815526,809047,43,199833,18,115959,72,10031,1674393,203076,20580952,11238,1152061,1107924,0.21,625.58,0,46659,19,10077,0,103,6,175,337,271,1822337,100,97,2,5,94,1033,114,132,24,44.46,97.6,98.18,98.75,10,KPK
21,Swat,"The district Swat is a lush green valley lying between 34°-40′ to 35° N latitude and 72′ to 74°-6′E longitude. 

The tourism in the district flourished due to the scenic beauty, peaceful people, pleasant weather, and the development during the Wali Swat era. Due to the ever increasing tourist’s inflow, and the income of expatriates, the district became more of a commercial centre. The hotels, restaurants, guest houses, transport, processing units, and retail shops grew and therefore the values of property inflated. It was during the period of insurgency, when entire economic activity came to halt, but after the successful military operation everything restored to its best.

Cultivated land is mainly found in the south-lying regions of Mingora, Barikot, Matta, Kabal and Khwazakhela, as the northern part of the district is mostly mountainous terrain.

Fisheries sector of Swat is inland fresh cold water with the only specie of Trout. The production is dependent upon the number and size of raceways and the quantum of water flow in the raceways. The production is not only sold within the country but also exported to Afghanistan.

The Emerald is mined and mostly sold in raw form. The stone from mines is attached to the mother rock and bigger in size. As compared to this, very small pieces of Emerald came to the market through the river side panning. The young men go to mine sides and collect debris from mine stones, then bring it to the river side and sift for tiny pieces of Emerald. The obtained stone is traded in raw form. These two types of activities pave the way for establishment of proper gemstones lapidaries. Apart from this, the business of renting out agricultural land and machinery is also in practice.",5337,409591,274620,7,67,2309570,433,102,695900,1613670,1172974,1136544,52,243681,28,52,112,39436,1854532,253790,1468956,1363,99573,98426,0.271,974.351,0,47320,26,24423,0,74,10,0,471,520,2713376,100,98,78,41,87,1299,129,119,23,47.61,81.73,80.12,95.41,1,KPK
